env,method,run,unit,initial_score,best_score,best_iteration,last_score,iterations,first_solved_iteration,solved,threshold,normalized_initial,normalized_best
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_0,-113.91374460850957,-113.91374460850957,1,-113.91374460850957,1,,False,200.0,-0.5695687230425479,-0.5695687230425479
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_1,-18.790022607896226,-18.790022607896226,2,-18.790022607896226,1,,False,200.0,-0.09395011303948113,-0.09395011303948113
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_2,228.99817899987633,228.99817899987633,3,228.99817899987633,1,3.0,True,200.0,1.1449908949993817,1.1449908949993817
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_3,144.77980100578947,144.77980100578947,4,144.77980100578947,1,,False,200.0,0.7238990050289473,0.7238990050289473
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_4,-559.7349154103049,-559.7349154103049,5,-559.7349154103049,1,,False,200.0,-2.7986745770515244,-2.7986745770515244
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_5,-166.95993420248547,-166.95993420248547,6,-166.95993420248547,1,,False,200.0,-0.8347996710124274,-0.8347996710124274
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_6,-36.731129207699084,-36.731129207699084,7,-36.731129207699084,1,,False,200.0,-0.1836556460384954,-0.1836556460384954
env_001,Budget-Matched Independent,runs/env_001/budget_matched_independent_v1,sample_7,96.17881936782445,96.17881936782445,8,96.17881936782445,1,,False,200.0,0.4808940968391222,0.4808940968391222
env_001,DERES,runs/env_001/paper_v4,seed_0,-70.35367636325427,224.20887631076044,8,-611.7641800925197,9,8.0,True,200.0,-0.35176838181627135,1.1210443815538023
env_001,DERES,runs/env_001/paper_v4,seed_1,-42.73539638777156,240.60290701082337,10,240.60290701082337,10,10.0,True,200.0,-0.21367698193885779,1.2030145350541168
env_001,DERES,runs/env_001/paper_v4,seed_2,-17.897086696499734,220.24200024367673,2,107.1445445248514,3,2.0,True,200.0,-0.08948543348249867,1.1012100012183836
env_001,DERES,runs/env_001/paper_v4,seed_3,-19.587336508788102,253.7068333419911,4,247.20666143345457,6,4.0,True,200.0,-0.09793668254394051,1.2685341667099557
env_001,DERES,runs/env_001/paper_v4,seed_4,139.52572526507595,206.13556021005235,3,110.16882565653347,5,3.0,True,200.0,0.6976286263253797,1.0306778010502617
env_001,w/o HEP,runs/env_001/ablation_unconstrained_v4,seed_0,-121.65905487384333,169.90251503534597,10,169.90251503534597,10,,False,200.0,-0.6082952743692167,0.8495125751767298
env_001,w/o HEP,runs/env_001/ablation_unconstrained_v4,seed_1,-107.52041789837209,130.63638445156158,4,-141.9601832774351,7,,False,200.0,-0.5376020894918604,0.6531819222578079
env_001,w/o HEP,runs/env_001/ablation_unconstrained_v4,seed_2,-111.84332495587621,71.06029124030454,3,-296.3401997271077,10,,False,200.0,-0.559216624779381,0.3553014562015227
