env,method,run,seed,sample,iteration,component,episode_sum_mean,episode_abs_sum_mean,signed_contribution_share,magnitude_share,active_rate
env_001,DERES,runs/env_001/paper_v4,0.0,,1,fuel_penalty,-49.9999999999993,49.9999999999993,-0.03337734532207686,0.03337734532207686,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,1,landing_reward,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,0.0,,1,proximity,1448.0220720827579,1448.0220720827579,0.9666226546779231,0.9666226546779231,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,2,fuel_penalty,-0.13749999999999996,0.13749999999999996,-0.022354392665316785,0.022354392665316785,0.03948312993539124
env_001,DERES,runs/env_001/paper_v4,0.0,,2,landing_reward,0.11400762111879885,0.11400762111879885,0.01853506275875122,0.01853506275875122,0.03732950466618808
env_001,DERES,runs/env_001/paper_v4,0.0,,2,progress,5.707312007248402,5.899408758431673,0.92787995398915,0.9591105445759319,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,3,fuel_penalty,-42.997499999999654,42.997499999999654,-0.026309524984659487,0.026309524984659487,0.9042586750788644
env_001,DERES,runs/env_001/paper_v4,0.0,,3,landing_reward,1523.5255914449692,1523.5255914449692,0.9322224457907986,0.9322224457907986,0.8270767613038906
env_001,DERES,runs/env_001/paper_v4,0.0,,3,proximity,67.7709532050416,67.7709532050416,0.041468029224542007,0.041468029224542007,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,4,fuel_penalty,-0.10250000000000001,0.10250000000000001,-0.009858728569619795,0.009858728569619795,0.029992684711046085
env_001,DERES,runs/env_001/paper_v4,0.0,,4,landing_reward,6.172998416423797,6.663995909690857,0.5937357643728297,0.6409612376848653,0.2121433796634967
env_001,DERES,runs/env_001/paper_v4,0.0,,4,proximity,3.63038227558136,3.63038227558136,0.3491800337455149,0.3491800337455149,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,5,approach_improvement,1.75946236574091,1.75946236574091,0.3911633320603977,0.3911633320603977,0.016105417276720352
env_001,DERES,runs/env_001/paper_v4,0.0,,5,contact_event,1.4,1.4,0.31124772859460975,0.31124772859460975,0.010248901903367497
env_001,DERES,runs/env_001/paper_v4,0.0,,5,fuel_penalty,-0.185,0.185,-0.04112916413571629,0.04112916413571629,0.05417276720351391
env_001,DERES,runs/env_001/paper_v4,0.0,,5,progress_delta,1.1146781142801045,1.1535624273121357,0.2478150222741467,0.2564597752092763,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,6,descent_safety,-92.52717166533839,92.52717166533839,-0.11751551781269973,0.11751551781269973,0.6565928038613427
env_001,DERES,runs/env_001/paper_v4,0.0,,6,fuel_penalty,-31.375000000000167,31.375000000000167,-0.039848287859799346,0.039848287859799346,0.6883501535761298
env_001,DERES,runs/env_001/paper_v4,0.0,,6,safe_proximity,662.4220721676945,662.4220721676945,0.841319057097145,0.841319057097145,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,6,stable_landed,0.50969228297472,0.50969228297472,0.0006473423047615885,0.0006473423047615885,0.0012066695919262834
env_001,DERES,runs/env_001/paper_v4,0.0,,6,touchdown_bonus,0.5273706078529358,0.5273706078529358,0.0006697949255942958,0.0006697949255942958,0.0001645458534444932
env_001,DERES,runs/env_001/paper_v4,0.0,,7,approach_shaping,-0.9337209582328796,1.0462386965751649,-0.1253386134402202,0.1404425020130353,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,7,descent_safety,-2.805848725885153,2.805848725885153,-0.37664484846846574,0.37664484846846574,0.062100456621004566
env_001,DERES,runs/env_001/paper_v4,0.0,,7,fuel_penalty,-3.5974999999999953,3.5974999999999953,-0.48291264951849894,0.48291264951849894,0.6570776255707762
env_001,DERES,runs/env_001/paper_v4,0.0,,7,stable_landed,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,0.0,,7,touchdown_bonus,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,0.0,,8,descent_safety,-91.65927634760737,91.65927634760737,-0.15524719424385167,0.15524719424385167,0.7756806222832304
env_001,DERES,runs/env_001/paper_v4,0.0,,8,fuel_penalty,-18.00500000000012,18.00500000000012,-0.030495830250284676,0.030495830250284676,0.8238389384580188
env_001,DERES,runs/env_001/paper_v4,0.0,,8,landing_proximity,415.06188085377215,415.06188085377215,0.7030078679189355,0.7030078679189355,1.0
env_001,DERES,runs/env_001/paper_v4,0.0,,8,stable_landed,50.435411538183686,50.435411538183686,0.08542459032889134,0.08542459032889134,0.13189201555708077
env_001,DERES,runs/env_001/paper_v4,0.0,,8,touchdown_bonus,15.247016704082489,15.247016704082489,0.025824517258036736,0.025824517258036736,0.0073209791809654545
env_001,DERES,runs/env_001/paper_v4,0.0,,9,descent_safety,-7.127693847566843,7.127693847566843,-0.501336473755885,0.501336473755885,0.09938733832539143
env_001,DERES,runs/env_001/paper_v4,0.0,,9,fuel_penalty,-4.862499999999992,4.862499999999992,-0.3420108461126108,0.3420108461126108,0.6620149761742682
env_001,DERES,runs/env_001/paper_v4,0.0,,9,landing_improvement,2.227191522717476,2.227191522717476,0.1566526801315042,0.1566526801315042,0.1718856364874064
env_001,DERES,runs/env_001/paper_v4,0.0,,9,stable_landed,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,0.0,,9,touchdown_bonus,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,1.0,,1,angular_vel_penalty,-0.1214823673171823,0.1214823673171823,-0.0011235993958875797,0.0011235993958875797,0.9980013324450366
env_001,DERES,runs/env_001/paper_v4,1.0,,1,landing_bonus,107.0,107.0,0.9896509099635116,0.9896509099635116,0.010967047609286117
env_001,DERES,runs/env_001/paper_v4,1.0,,1,shaped_progress,0.5480827552456617,0.997450200475923,0.00506925792022596,0.009225490640600787,0.9992825295956542
env_001,DERES,runs/env_001/paper_v4,1.0,,2,angular_vel_penalty,-0.33085187935088733,0.33085187935088733,-0.006477096393984317,0.006477096393984317,0.9976953973793375
env_001,DERES,runs/env_001/paper_v4,1.0,,2,landing_bonus,49.68284283876419,49.68284283876419,0.9726423885673661,0.9726423885673661,0.011983933627444526
env_001,DERES,runs/env_001/paper_v4,1.0,,2,shaped_progress,0.8292935482069204,1.0665824965593962,0.016235102732932678,0.02088051503864951,0.9980904721143082
env_001,DERES,runs/env_001/paper_v4,1.0,,3,angular_vel_penalty,-0.36423098641876933,0.36423098641876933,-0.0010542945924373664,0.0010542945924373664,0.992937140550903
