#{"t_start": 1782751019.5182219, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
43.645517,117,1.542576,-100.0,0.0023877285420894623,0
22.178007,64,1.620346,-100.0,1.3786000404506922,0
24.779281,85,1.716945,-100.0,0.3294215500354767,0
-3.871469,65,1.790676,-100.0,-0.7770562153309584,0
7.965243,98,1.91059,-100.0,-0.46419645741116256,0
-41.417971,110,2.038477,-100.0,-0.8932419344782829,0
25.007375,80,2.131954,-100.0,0.17495682835578918,0
-23.407139,88,2.235485,-100.0,-0.7077454887330532,0
32.759904,79,2.319895,-100.0,2.7795988647267222,0
10.733404,63,2.387668,-100.0,0.10302368737757206,0
-32.471239,144,2.563391,-100.0,-1.2551620081067085,0
27.559533,88,3.498314,-100.0,0.6661376119591296,0
-26.928835,101,3.606718,-100.0,-1.6223730370402336,0
10.999471,65,3.682645,-100.0,0.0562782846391201,0
3.560202,79,3.768242,-100.0,0.10398207232356071,0
3.982455,87,3.864085,-100.0,-0.08100830391049385,0
-28.933881,92,3.967887,-100.0,-0.6978863477706909,0
-6.432437,116,4.112307,-100.0,-1.2714908234775066,0
-29.4334,108,4.254629,-100.0,-0.8157999019604176,0
26.625381,103,4.397827,-100.0,2.561492137145251,0
34.068846,88,4.527673,-100.0,1.7988256514072418,0
-30.211481,70,4.634238,-100.0,-1.2361925765872002,0
26.414253,68,6.07031,-100.0,2.750087970867753,0
-8.525868,107,6.272725,-100.0,0.04511407017707825,0
14.950223,103,6.469716,-100.0,0.31782468035817146,0
4.854403,99,6.653398,-100.0,-0.6235892064869404,0
-6.634448,60,6.761487,-100.0,-0.31132885068655014,0
20.714631,79,6.885824,-100.0,-0.4281963612884283,0
3.040616,83,7.02294,-100.0,0.9777554236352444,0
-23.265648,110,7.209873,-100.0,-0.6235824190080166,0
18.519783,89,7.348022,-100.0,0.8596566244959831,0
-30.470094,118,7.532917,-100.0,-1.2783309742808342,0
-36.219832,100,7.699302,-100.0,-1.1383587270975113,0
-33.885021,116,9.003805,-100.0,-1.2239676639437675,0
32.777773,86,9.135691,-100.0,1.827479145489633,0
7.010306,83,9.262865,-100.0,0.02389776147902012,0
12.490091,95,9.401709,-100.0,0.22252889163792133,0
6.52608,93,9.547776,-100.0,0.9961066506803036,0
-13.483844,111,9.714388,-100.0,-0.5024297162890434,0
11.200799,104,9.873991,-100.0,-0.3452956322580576,0
16.97662,59,9.960932,-100.0,0.44354210048913956,0
1.262038,95,10.103663,-100.0,0.7740717269480228,0
11.408037,96,10.248047,-100.0,-0.3068923221435398,0
-4.002725,78,10.36778,-100.0,-0.43115787021815777,0
-0.248283,81,11.995356,-100.0,-0.6281604059040546,0
-16.657255,93,12.160084,-100.0,-1.1326226340606809,0
4.269312,96,12.364661,-100.0,-0.6249982789158821,0
-0.020336,93,12.524562,-100.0,-0.11433485150337219,0
-16.258852,103,12.691589,-100.0,-0.8860766775906086,0
15.708797,56,12.769864,-100.0,2.7503988561220467,0
34.01359,88,12.931953,-100.0,2.7445926549844444,0
-1.869683,95,13.092623,-100.0,-0.27964458242058754,0
29.710505,65,13.207225,-100.0,2.6826786655001342,0
-24.169011,114,13.380607,-100.0,-0.8937807306647301,0
8.036099,94,13.523001,-100.0,-0.5453664064407349,0
11.816061,78,13.665514,-100.0,-0.3938525877892971,0
21.438914,100,14.918981,-100.0,2.6879885885864496,0
-15.292582,110,15.076455,-100.0,-0.5890768319368362,0
11.659136,57,15.159127,-100.0,-0.47554762475192547,0
18.219985,88,15.289414,-100.0,-0.34932517632842064,0
-3.856631,113,15.453728,-100.0,-0.0720115602016449,0
9.917312,63,15.545897,-100.0,0.2882104218006134,0
-9.50532,96,15.707222,-100.0,-0.8588395565748215,0
8.465169,56,15.841388,-100.0,-0.5899027697741985,0
-8.133288,86,16.01003,-100.0,-0.030612342059612274,0
-9.908057,71,16.238724,-100.0,-0.5815025381743908,0
-36.815473,110,16.454663,-100.0,-0.6308044791221619,0
7.019518,96,16.636483,-100.0,-0.786867517977953,0
-6.897494,94,18.064536,-100.0,-0.5510482601821423,0
23.28968,69,18.181231,-100.0,-0.16338830930180848,0
1.696223,65,18.278997,-100.0,-0.5159358270466328,0
13.81931,102,18.418402,-100.0,-0.33212570659816265,0
11.247524,69,18.517104,-100.0,-0.7193052507936954,0
13.256658,57,18.595368,-100.0,-0.06325660832226276,0
27.500772,93,18.738632,-100.0,-0.17224839329719543,0
20.118592,63,18.830938,-100.0,2.762545916251838,0
5.934934,58,18.910573,-100.0,-0.49472212605178356,0
21.247244,64,19.001908,-100.0,1.796548878774047,0
3.619418,112,19.163495,-100.0,0.2654993422329426,0
-4.746376,96,19.307477,-100.0,-0.5197133091278374,0
-22.160904,97,19.442474,-100.0,-0.9750784821808338,0
27.794069,84,20.619322,-100.0,0.8007069686427712,0
29.518406,78,20.737433,-100.0,2.7624263339675963,0
3.125326,91,20.886385,-100.0,-0.4549115002155304,0
17.631681,60,21.011009,-100.0,-0.12719410378485918,0
1.35998,83,21.15917,-100.0,-0.44808853790163994,0
-4.918801,105,21.332667,-100.0,-0.8068454042077065,0
9.95857,59,21.429816,-100.0,1.2516801245510578,0
5.837514,69,21.639216,-100.0,-0.016297481954097748,0
5.770116,99,21.866455,-100.0,0.004533592611551285,0
19.622603,86,22.020546,-100.0,-0.2860915642231703,0
-9.383277,93,22.255601,-100.0,-0.6316907294094563,0
21.435028,83,22.410616,-100.0,-0.026499157771468163,0
0.486676,68,23.697783,-100.0,-0.8206378873437643,0
3.955093,76,23.808276,-100.0,-0.39092178270220757,0
22.578273,89,23.956735,-100.0,0.5952787417918444,0
2.862094,63,24.05326,-100.0,-0.1946857087314129,0
2.982637,66,24.152465,-100.0,0.14225191622972488,0
17.167536,56,24.243454,-100.0,2.3792878203094006,0
22.276746,89,24.370852,-100.0,0.07038836553692818,0
26.682888,64,24.46735,-100.0,2.6120501533150673,0
25.249781,71,24.574959,-100.0,0.2036780808120966,0
54.096326,102,24.730408,-100.0,2.7739335354417562,0
0.271511,74,24.838894,-100.0,-0.7204541601240635,0
16.417138,64,24.939936,-100.0,0.3717875052243471,0
6.191134,101,25.090523,-100.0,-0.02883581444621086,0
