#{"t_start": 1782846830.654587, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
47.482438,94,1.311617,-100.0,-0.47517603635787964,0
-7.835729,112,1.423478,-100.0,-1.0821561813354492,0
9.049523,81,1.499665,-100.0,-0.9980064630508423,0
54.703646,109,1.597255,-100.0,1.0009064674377441,0
11.217255,101,1.696963,-100.0,-0.5510848760604858,0
49.770551,72,1.762778,-100.0,-0.4982481002807617,0
12.62177,102,1.863829,-100.0,-0.9195321798324585,0
41.18458,64,1.925702,-100.0,-0.4104073643684387,0
42.972439,79,1.99794,-100.0,2.322255849838257,0
13.758363,92,2.087332,-100.0,-1.2530081272125244,0
13.069948,75,2.164325,-100.0,-0.9265599846839905,0
-10.837019,124,3.021127,-100.0,-0.7730302810668945,0
54.769783,147,3.170228,-100.0,0.20730572938919067,0
35.518391,76,3.243698,-100.0,0.5214282274246216,0
36.795785,91,3.329527,-100.0,-1.142324686050415,0
-3.781609,112,3.433603,-100.0,-0.658450722694397,0
46.751181,113,3.549353,-100.0,1.1006065607070923,0
-8.436,106,3.649108,-100.0,-0.06128683686256409,0
-10.968994,108,3.752399,-100.0,-1.207910418510437,0
56.206405,76,3.831346,-100.0,-0.5587902069091797,0
45.844911,82,3.915524,-100.0,-0.31594380736351013,0
14.560762,67,4.749938,-100.0,-1.7955478429794312,0
37.904636,79,4.843551,-100.0,-1.2751635313034058,0
30.918956,70,4.934489,-100.0,-0.8845919370651245,0
50.719777,98,5.07745,-100.0,0.4592757225036621,0
1.309088,100,5.273654,-100.0,-1.0610017776489258,0
22.896163,117,5.454485,-100.0,0.18309465050697327,0
23.545304,72,5.569878,-100.0,-1.4283602237701416,0
41.079643,84,5.747684,-100.0,-1.0117182731628418,0
24.720209,118,5.958709,-100.0,0.5068432092666626,0
45.024912,118,6.125046,-100.0,-0.17238754034042358,0
51.18037,66,6.211251,-100.0,-0.6334280967712402,0
19.844572,87,7.345458,-100.0,-1.3344089984893799,0
34.048696,80,7.447237,-100.0,0.10564586520195007,0
-3.167885,87,7.55864,-100.0,-1.0158936977386475,0
23.187373,123,7.713865,-100.0,-0.4641422927379608,0
26.332851,73,7.807698,-100.0,-0.4654536247253418,0
53.324932,85,7.918902,-100.0,3.582376003265381,0
23.902658,62,7.999168,-100.0,-0.7186408042907715,0
36.248931,89,8.112085,-100.0,-1.0979034900665283,0
50.779529,72,8.201591,-100.0,0.7326586842536926,0
14.488651,98,8.3384,-100.0,-0.9684438109397888,0
49.422688,62,8.419072,-100.0,-0.6204683184623718,0
16.270759,120,8.572259,-100.0,-1.223279356956482,0
49.620404,97,9.682221,-100.0,2.625670909881592,0
53.158361,111,9.827743,-100.0,4.244041919708252,0
-16.90953,86,9.95421,-100.0,-1.0790530443191528,0
51.079582,61,10.051147,-100.0,-0.35243046283721924,0
44.920733,72,10.169138,-100.0,-1.0278732776641846,0
43.076746,93,10.328971,-100.0,1.359253168106079,0
12.182783,86,10.481642,-100.0,-1.5678333044052124,0
44.759038,62,10.578473,-100.0,-0.6383625268936157,0
50.552281,65,10.745756,-100.0,0.10229021310806274,0
26.25507,66,10.907005,-100.0,-0.6478802561759949,0
55.433641,58,11.005263,-100.0,0.629977822303772,0
11.356365,96,11.153971,-100.0,-1.8513343334197998,0
56.175586,90,11.300994,-100.0,-0.7087493538856506,0
-8.95676,96,12.403008,-100.0,-2.0528714656829834,0
37.879567,78,12.514344,-100.0,0.7184077501296997,0
21.600071,102,12.671914,-100.0,-0.2708391547203064,0
42.864508,70,12.770075,-100.0,-1.3809677362442017,0
31.654399,66,12.858343,-100.0,-1.2858505249023438,0
42.304187,139,13.028309,-100.0,2.3764302730560303,0
26.301914,118,13.180382,-100.0,-0.8135814666748047,0
49.553899,98,13.309956,-100.0,-0.4292140603065491,0
45.748613,95,13.449839,-100.0,1.0938389301300049,0
2.105088,95,13.587942,-100.0,-0.43655845522880554,0
40.614268,67,13.68475,-100.0,-0.6114903092384338,0
53.535219,58,14.79703,-100.0,3.420794725418091,0
53.837403,79,14.907226,-100.0,-0.5137494802474976,0
58.684766,108,15.043304,-100.0,3.3556971549987793,0
48.606795,83,15.143485,-100.0,-0.5827051401138306,0
-3.270227,105,15.27925,-100.0,-0.7506973743438721,0
-5.155928,111,15.431609,-100.0,-1.8330910205841064,0
30.484579,67,15.569392,-100.0,-1.3446044921875,0
30.197573,104,15.735805,-100.0,-0.2541937232017517,0
38.123427,72,15.844127,-100.0,-0.6079211831092834,0
24.674087,101,15.989654,-100.0,-1.5485533475875854,0
47.636026,98,16.152697,-100.0,-1.0803098678588867,0
