episode,seed,original_return,generated_return,length,terminated,truncated,component.landing_proxy,component.progress_reward,component.stability_penalty,behavior.both_contact_rate,behavior.final_abs_angle,behavior.final_distance,behavior.final_speed,behavior.left_contact_rate,behavior.outcome,behavior.right_contact_rate,behavior.source,behavior.termination_reason
0,10005,-115.43107497643399,1.2858281715506767,74,True,False,0.7664249590992889,1.2165390900176005,-0.6971358775662131,0.02702702702702703,0.022741036489605904,0.19705543938410547,2.40237634434949e-08,0.02702702702702703,terminated_unclassified,0.02702702702702703,derived_from_declared_observation_and_action,unknown
1,10006,-63.26537807967526,0.4410177329141668,82,True,False,0.3374957262816955,0.9908968101070862,-0.887374803474615,0.036585365853658534,0.14782294631004333,0.4248527066135136,0.16689805986987605,0.036585365853658534,terminated_unclassified,0.036585365853658534,derived_from_declared_observation_and_action,unknown
2,10007,-110.04820169372144,0.188127765820696,81,True,False,0.008715221524239584,1.0315830859267026,-0.852170541630246,0.012345679012345678,0.2711043059825897,0.38638031424816804,0.9689750187198609,0.037037037037037035,terminated_unclassified,0.012345679012345678,derived_from_declared_observation_and_action,unknown
3,10008,-117.72299717199962,1.3582224481491232,76,True,False,0.8250004999874267,1.2395919092487253,-0.7063699610870287,0.02631578947368421,0.0001817199809011072,0.17469945966833672,1.1290583777936482e-07,0.02631578947368421,terminated_unclassified,0.02631578947368421,derived_from_declared_observation_and_action,unknown
4,10009,-65.85262251450894,0.4184268089392288,76,True,False,0.3400154129758684,0.9323140784778238,-0.8539026825144629,0.02631578947368421,0.06688892841339111,0.48176737407268866,0.24256639108779438,0.02631578947368421,terminated_unclassified,0.02631578947368421,derived_from_declared_observation_and_action,unknown
5,10010,-59.08200672846065,0.3656349105427128,54,True,False,0.09332037346220054,1.0426609391764905,-0.7703464020959778,0.018518518518518517,0.23834460973739624,0.35707753207699794,0.7226308322218818,0.037037037037037035,terminated_unclassified,0.018518518518518517,derived_from_declared_observation_and_action,unknown
6,10011,-52.225025373388654,0.43373184477929133,62,True,False,0.19468887838627952,1.0250635533836914,-0.7860205869906791,0.016129032258064516,0.10586245357990265,0.37877946987622707,0.20485279893683225,0.03225806451612903,terminated_unclassified,0.03225806451612903,derived_from_declared_observation_and_action,unknown
7,10012,-95.74134653281793,0.2736470731345837,68,True,False,0.07999522374893421,0.9829932902088523,-0.7893414408232027,0.0,0.004044927656650543,0.42816250279732104,0.7179350707986103,0.014705882352941176,terminated_unclassified,0.0,derived_from_declared_observation_and_action,unknown
8,10013,-116.98106097530383,-0.006932875249316184,68,True,False,0.0,0.8853475733570703,-0.8922804486063864,0.0,0.04005154222249985,0.5255127690668425,1.6347641425642248,0.0,terminated_unclassified,0.029411764705882353,derived_from_declared_observation_and_action,unknown
9,10014,-95.47963680535605,1.0147262249061526,60,True,False,0.5142749495743596,1.1951726290616815,-0.6947213537298886,0.016666666666666666,0.02562643401324749,0.2092935786393011,0.3144650064956841,0.03333333333333333,terminated_unclassified,0.016666666666666666,derived_from_declared_observation_and_action,unknown
10,10015,-104.55330967075723,1.52418203610719,82,True,False,0.902367620346461,1.3206175349575258,-0.6988031191967965,0.024390243902439025,0.00025842469767667353,0.09716554391829435,2.286124443906582e-07,0.024390243902439025,terminated_unclassified,0.024390243902439025,derived_from_declared_observation_and_action,unknown
11,10016,-105.87561435145176,1.5721650877806919,62,True,False,0.8839683650707126,1.344729855101042,-0.6565331323910627,0.03225806451612903,0.00203198054805398,0.061254758232866094,0.05450872331857841,0.03225806451612903,terminated_unclassified,0.03225806451612903,derived_from_declared_observation_and_action,unknown
12,10017,-91.8648155227839,0.44574214637082143,54,True,False,0.006547233138238663,1.1442603729601395,-0.7050654597275563,0.0,0.14761579036712646,0.2574787162335326,0.9749773984994745,0.037037037037037035,terminated_unclassified,0.0,derived_from_declared_observation_and_action,unknown
13,10018,-71.02753247859019,1.4288946111978742,55,True,False,0.8092170079996693,1.2871134879488417,-0.6674358847506373,0.03636363636363636,0.000267779512796551,0.11350878445859612,0.08667947351932528,0.05454545454545454,terminated_unclassified,0.03636363636363636,derived_from_declared_observation_and_action,unknown
14,10019,-105.3236594778683,1.1279021033548662,69,True,False,0.6111245073181603,1.2304611301044666,-0.7136835340677604,0.014492753623188406,0.027115266770124435,0.1796609505584239,0.21231780982052523,0.043478260869565216,terminated_unclassified,0.014492753623188406,derived_from_declared_observation_and_action,unknown
15,10020,-122.55965598643755,0.06531355017734548,71,True,False,0.0,0.944865939651824,-0.8795523894744783,0.014084507042253521,0.10059045255184174,0.4668282619578989,1.5286449441134402,0.014084507042253521,terminated_unclassified,0.028169014084507043,derived_from_declared_observation_and_action,unknown
16,10021,-73.24911638986501,0.2243441028103134,60,True,False,0.043552913109717685,0.9694071425551529,-0.7886159528545577,0.016666666666666666,0.13347287476062775,0.43624610737100844,0.8946119087179057,0.03333333333333333,terminated_unclassified,0.016666666666666666,derived_from_declared_observation_and_action,unknown
