#{"t_start": 1782925617.5369277, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
6.849423,112,2.680593,-100.0,0.10808106511831284,0
6.723717,115,2.950897,-100.0,-0.05294492468237877,0
4.389186,114,3.251501,-100.0,-0.0023947954177856445,0
6.433129,109,3.550687,-100.0,0.6280111074447632,0
2.962109,115,3.844278,-100.0,-0.07463722676038742,0
4.334799,86,4.320394,-100.0,-0.03854487091302872,0
6.480166,128,4.664743,-100.0,-0.04615907743573189,0
7.188653,92,4.850826,-100.0,0.600623607635498,0
4.498845,69,4.971349,-100.0,-0.07134854793548584,0
6.652365,58,5.078951,-100.0,-0.06391884386539459,0
4.558107,83,6.755476,-100.0,0.020657924935221672,0
6.618068,62,6.895535,-100.0,-0.022216038778424263,0
4.713197,68,7.051337,-100.0,-0.042868152260780334,0
4.479544,63,7.203036,-100.0,0.08155044913291931,0
6.016428,81,7.397781,-100.0,-0.05709533393383026,0
4.79547,73,7.571606,-100.0,-0.02685439959168434,0
5.004662,100,7.796794,-100.0,-0.018679900094866753,0
4.696839,127,8.105611,-100.0,-0.025886138901114464,0
4.773427,102,8.348409,-100.0,-0.029500722885131836,0
5.443427,80,8.535379,-100.0,-0.09556833654642105,0
5.328324,94,8.712895,-100.0,-0.016041399911046028,0
1.726173,112,8.916255,-100.0,-0.08909077197313309,0
5.009577,51,10.660481,-100.0,-0.019259778782725334,0
3.896082,111,10.925526,-100.0,-0.0710943415760994,0
4.608841,110,11.202118,-100.0,-0.056523397564888,0
5.855504,104,11.462871,-100.0,0.00800528097897768,0
5.322727,126,11.732275,-100.0,-0.09047694504261017,0
3.540208,71,11.89201,-100.0,-0.07689633965492249,0
4.856848,113,12.151735,-100.0,-0.07569753378629684,0
6.146938,92,12.364361,-100.0,0.021891795098781586,0
3.619962,108,12.597866,-100.0,-0.0736064612865448,0
3.830494,91,12.777791,-100.0,-0.04519984871149063,0
6.696402,57,14.374302,-100.0,0.298356831073761,0
6.348364,64,14.627146,-100.0,0.006455518305301666,0
4.681906,102,14.948119,-100.0,-0.00851241685450077,0
6.516758,95,15.201446,-100.0,-0.040974631905555725,0
7.188864,81,15.416758,-100.0,0.7810297012329102,0
5.557622,55,15.560474,-100.0,0.0947461947798729,0
5.775323,76,15.742103,-100.0,-0.04608546569943428,0
6.379573,86,15.944981,-100.0,-0.06814717501401901,0
4.773346,84,16.147969,-100.0,-0.03307940438389778,0
6.631955,104,16.410295,-100.0,0.11215609312057495,0
4.82829,86,16.605204,-100.0,-0.106647789478302,0
5.811073,64,16.750791,-100.0,-0.0360778272151947,0
2.869273,98,16.940573,-100.0,-0.019176406785845757,0
6.233476,79,18.542746,-100.0,-0.04170924797654152,0
4.235747,78,18.725291,-100.0,-0.09155943989753723,0
5.410599,76,18.89922,-100.0,0.005555686540901661,0
5.970468,77,19.078264,-100.0,-0.024923773482441902,0
5.321237,91,19.293443,-100.0,-0.06864214688539505,0
4.809712,85,19.532576,-100.0,-0.04606826603412628,0
5.759164,71,19.753588,-100.0,-0.038493722677230835,0
6.580639,124,20.140711,-100.0,-0.06325533986091614,0
4.696556,105,20.391816,-100.0,-0.03140566125512123,0
4.352027,66,20.5302,-100.0,-0.10488062351942062,0
4.809494,66,20.659883,-100.0,-0.006455481983721256,0
6.208354,63,20.778034,-100.0,-0.02698284201323986,0
4.254092,76,22.416669,-100.0,-0.08617527037858963,0
5.830366,61,22.55972,-100.0,-0.057165417820215225,0
7.491351,59,22.706976,-100.0,0.7314664125442505,0
5.348979,57,22.846197,-100.0,-0.008614808320999146,0
6.781094,89,23.063841,-100.0,-0.18430784344673157,0
6.243953,60,23.203933,-100.0,-0.034101467579603195,0
5.191603,65,23.368635,-100.0,0.009534012526273727,0
5.85397,72,23.545383,-100.0,-0.056011199951171875,0
5.519592,61,23.685496,-100.0,-0.06739888340234756,0
6.344865,66,23.867259,-100.0,-0.03561897575855255,0
7.271119,100,24.101761,-100.0,0.8416459560394287,0
6.675403,74,24.262372,-100.0,-0.11452153325080872,0
6.985791,77,24.406589,-100.0,0.532464325428009,0
5.98249,81,24.561184,-100.0,0.022652918472886086,0
6.594719,107,26.391229,-100.0,-0.006761206779628992,0
5.419828,92,26.611774,-100.0,0.004297611769288778,0
5.577137,97,26.853967,-100.0,-0.0020771706476807594,0
6.315199,70,27.034725,-100.0,-0.011471845209598541,0
