#{"t_start": 1783003191.4659286, "env_id": "LunarLander-v2"}
r,l,t,original_env_reward,generated_reward,reward_error_count
11.301153,112,1.629249,-100.0,0.21028468377143308,0
10.877262,115,1.777972,-100.0,-0.05021993227153032,0
5.623134,114,1.931317,-100.0,4.619170560182795e-05,0
9.453202,109,2.065701,-100.0,0.12485751852275292,0
4.899505,115,2.206497,-100.0,-0.09010752998641891,0
7.043683,86,2.311832,-100.0,-0.05476230165348461,0
10.491087,128,2.466918,-100.0,-0.03506879280273589,0
10.557495,92,2.587854,-100.0,-0.04190500242013262,0
7.289141,69,2.67601,-100.0,-0.11415740878023595,0
10.756712,58,2.755883,-100.0,-0.058956022704589384,0
7.418046,83,3.799079,-100.0,0.03305259600720811,0
10.716066,62,3.874111,-100.0,-0.0073615327451065915,0
7.680465,68,3.95904,-100.0,-0.055968891700720835,0
7.070263,63,4.040888,-100.0,-0.05539137080289702,0
9.75496,81,4.1452,-100.0,-0.06059232371030521,0
7.761532,73,4.243496,-100.0,-0.0035476678809422957,0
8.334859,101,4.374042,-100.0,-0.03780059129476099,0
6.197337,129,4.610353,-100.0,-0.07846128314522183,0
5.496557,119,4.806461,-100.0,-0.07529543628963165,0
9.679989,75,4.909674,-100.0,-0.014655160829345476,0
3.863312,99,5.12561,-100.0,-0.1550857123960956,0
5.570288,119,6.205588,-100.0,-0.058773396347247875,0
9.264517,75,6.304281,-100.0,-0.04861074742969729,0
7.257455,67,6.3927,-100.0,-0.12977207121298617,0
9.674838,68,6.478789,-100.0,-0.023907062132508372,0
5.120178,84,6.596107,-100.0,-0.16991439828314192,0
6.014937,87,6.70384,-100.0,-0.16419517635421066,0
11.008317,88,6.817989,-100.0,0.030628752249836966,0
8.560177,74,6.909822,-100.0,0.0018676512906781184,0
8.588124,64,7.007078,-100.0,-0.009090943781866923,0
10.47306,99,7.144542,-100.0,-0.017924665688944685,0
3.259466,104,7.302347,-100.0,-0.1688996005375154,0
7.744929,83,7.412946,-100.0,-0.11494150546393422,0
11.030136,78,7.510601,-100.0,0.014143012281653322,0
8.484397,93,8.573822,-100.0,0.07076444732182363,0
10.464329,58,8.678626,-100.0,0.015066024412660584,0
9.746042,71,8.805068,-100.0,-0.025994712960723865,0
10.854329,79,8.919,-100.0,0.0009220982015673007,0
6.778859,88,9.048404,-100.0,-0.018179006732885306,0
5.052047,95,9.164468,-100.0,-0.06399699095466271,0
8.793471,81,9.269784,-100.0,-0.04287207514384894,0
9.496458,64,9.351504,-100.0,-0.018347842872050935,0
7.119737,76,9.457469,-100.0,-0.16513216921818374,0
5.90477,106,9.600954,-100.0,-0.02203245754748373,0
7.109019,80,9.719796,-100.0,0.05064983299484638,0
7.454267,62,9.853828,-100.0,-0.06686256838899629,0
10.507198,58,9.952587,-100.0,-0.008066908126184269,0
8.222783,103,11.164499,-100.0,-0.05709818506214592,0
10.746157,61,11.24176,-100.0,-0.05645670607643882,0
8.498698,61,11.316301,-100.0,0.02540041399563986,0
9.472138,101,11.444089,-100.0,-0.0069067655402657024,0
9.692306,76,11.544418,-100.0,-0.0034349141346405876,0
7.143048,90,11.65888,-100.0,-0.016108296979971293,0
10.789503,62,11.73411,-100.0,-0.15092213946433863,0
6.801456,75,11.825783,-100.0,-0.045578321900014096,0
