#{"t_start": 1783434978.085616, "env_id": "LunarLander-v3"}
r,l,t
143.738476,1000,216.670672
132.791571,1000,220.252484
160.476215,1000,223.823337
-30.720207,270,224.360736
153.577675,1000,227.836547
119.972373,1000,231.781962
16.24968,229,232.209994
1.915669,299,234.352062
125.613831,1000,237.871136
138.971923,1000,241.505927
119.369223,1000,245.034944
117.661123,1000,248.570326
84.291575,1000,251.966515
99.188886,1000,255.418483
132.742647,1000,258.875062
145.889346,1000,262.341686
142.45123,1000,265.782702
-6.319996,308,266.350614
140.103259,1000,269.732794
125.737603,1000,273.172509
-26.053639,328,273.87334
136.349742,1000,277.620631
142.197544,1000,281.655151
132.914204,1000,285.802917
97.680009,1000,289.525766
176.920562,1000,293.314695
169.793548,1000,297.013263
136.559447,1000,300.837977
21.477928,256,301.531649
151.198844,1000,305.565104
135.055684,1000,309.364416
163.452599,1000,313.26403
8.03089,379,314.304204
116.303308,1000,319.849065
167.566652,1000,324.044593
165.945175,1000,328.15411
142.34805,1000,332.277996
85.566046,1000,336.427256
137.573881,1000,340.358378
153.685071,1000,345.626752
171.976333,1000,350.00723
172.716949,1000,353.706334
96.444609,1000,357.387115
166.074192,1000,361.092089
169.628317,1000,364.702876
127.965868,1000,368.126077
127.666485,1000,372.115418
98.041022,1000,376.82194
137.199155,1000,380.381754
130.271795,1000,383.816427
154.946027,1000,387.374242
132.206339,1000,390.884405
145.011397,1000,394.575981
150.131122,1000,398.358094
136.643403,1000,402.125678
121.924181,1000,405.938997
153.347293,1000,409.424325
128.057782,1000,413.055303
122.232823,1000,416.984336
125.922021,1000,420.761621
109.21907,1000,424.467384
135.495427,1000,428.073918
160.622964,1000,431.626839
128.13145,1000,435.199026
160.109468,1000,438.72011
117.332654,1000,442.287668
145.809822,1000,445.875005
239.304254,800,447.476569
258.097919,510,450.29475
278.316327,334,450.974845
217.255383,325,453.277209
121.875587,1000,456.865702
259.280651,391,457.584029
263.287749,349,458.259132
286.361777,319,460.642438
213.704052,370,461.367999
270.85233,902,464.91011
10.051023,277,465.483229
21.451791,293,465.997635
257.509854,314,468.269175
274.345138,414,469.053295
248.518762,404,471.411939
256.92212,508,472.561369
191.693048,1000,476.256052
256.503019,347,476.985425
233.915821,340,479.738422
29.899418,275,480.289198
285.406579,382,481.040016
258.56993,335,483.280023
266.226285,340,483.977583
261.864832,337,484.623561
231.091115,335,488.05527
245.215138,294,488.959989
128.486666,1000,493.210469
269.965774,340,494.052653
252.402646,330,497.029284
-10.136946,251,497.781003
219.826771,322,498.686446
278.889982,416,502.933506
230.329609,396,503.929867
249.268203,312,504.886196
233.15647,642,508.751179
232.224945,304,509.571935
138.268996,1000,514.246669
262.135301,353,515.045057
236.670031,271,518.514812
0.978437,213,518.934442
59.169557,1000,522.95799
282.629574,323,523.693127
238.395978,290,525.834539
-15.268143,241,526.252393
246.699679,341,527.093761
221.02113,293,527.737681
280.397374,309,530.341931
246.588091,299,530.92157
245.19965,345,531.570814
271.565005,298,534.220392
31.36343,188,534.636928
-8.056459,177,535.10659
254.008144,491,536.074725
16.550975,235,538.199705
251.23902,293,538.814035
276.135837,504,540.245574
248.873719,295,542.432798
257.645769,280,542.985943
290.590566,360,543.864172
251.910787,356,546.572633
244.621587,356,547.291795
219.590784,285,547.805203
241.704149,295,550.340167
57.024978,261,550.901
226.704808,289,551.719446
208.395849,497,554.233712
249.22472,331,555.026884
240.775027,373,555.987324
240.442239,308,558.416842
-10.531453,219,558.800661
254.623892,334,559.459144
292.671015,381,562.164799
206.810541,308,562.892249
259.558796,320,563.491189
260.15321,341,564.183646
24.290041,317,566.535599
261.850783,553,567.983119
260.075638,392,570.380403
35.032002,296,570.972469
241.356345,495,572.067811
41.907687,184,575.074301
272.265389,417,575.947116
291.518557,361,576.698699
269.306296,388,579.564313
9.838721,230,580.018646
242.655108,343,580.675251
218.863406,340,583.139601
238.393387,315,583.992185
247.710428,347,584.831902
267.473583,471,587.394894
256.889978,330,588.160641
218.625235,339,588.879229
118.502332,1000,592.722122
48.956156,337,595.540683
256.02689,447,596.518562
239.516845,352,598.768619
256.935297,357,599.547807
241.941097,374,600.500354
243.089465,352,602.922561
230.174125,342,603.553094
170.486436,1000,607.570003
262.709931,304,608.174238
251.426793,314,608.735792
218.034317,390,611.401806
288.448475,324,612.254482
272.474195,326,614.474067
240.378625,316,615.05451
248.803007,317,615.796994
246.319415,586,618.857664
263.830973,399,619.594585
288.569689,317,620.198485
280.145256,327,623.031444
236.953501,321,623.885761
286.140624,361,624.58447
262.136984,358,627.252482
255.149649,369,628.274404
284.909035,347,629.18644
248.516707,347,631.537138
232.329327,327,632.318934
245.393325,318,633.126466
278.993126,321,635.978934
260.45807,306,636.632787
280.066027,325,637.246668
261.701354,369,640.604191
247.1678,340,641.328267
268.979485,334,642.064214
274.908244,379,645.278395
219.999546,319,646.211311
222.291239,382,646.961452
264.653638,297,649.158175
254.809472,373,649.983094
270.321651,301,650.848351
46.783592,224,653.212283
252.590271,317,653.786031
221.233023,304,654.905393
254.001974,281,655.76219
259.294126,298,658.404968
255.555848,304,659.025044
246.818405,313,659.586847
241.445422,322,662.170189
255.088855,300,662.859642
256.824543,407,663.731466
277.165288,537,666.6901
259.853887,408,667.778961
258.880247,533,670.763062
264.767886,346,671.54509
257.593742,324,672.32058
278.918651,301,675.059713
287.813494,363,675.785135
226.428606,346,676.581933
296.129486,305,679.384836
274.818006,314,680.210038
10.133152,252,680.693138
258.694842,310,683.045743
253.726748,377,683.945408
251.184789,305,684.977571
286.068762,352,687.437873
250.448022,290,687.969484
260.083532,342,688.965007
299.16269,279,689.642418
248.937814,288,692.348042
286.184843,277,692.983498
224.870861,317,693.699007
230.906215,343,696.955608
286.486126,315,697.716559
238.303732,363,698.530498
234.395738,343,701.692895
239.763691,291,702.859311
284.164401,321,703.700511
228.263193,305,706.907675
251.270849,294,707.563912
252.763152,277,708.244955
248.158327,306,708.840089
234.197299,333,712.333266
275.180703,323,713.455421
248.417351,307,714.629649
