#{"t_start": 1782995406.9755378, "env_id": "LunarLander-v2"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-102.339328,100,1.556049,-100.0,-0.13825934031619314,0
-84.616744,90,1.681396,-100.0,-0.17095004643671874,0
-58.948944,64,1.768331,-100.0,-0.643100942183291,0
-114.121227,96,1.904262,-100.0,-0.7213664504483726,0
-61.58487,62,1.992455,-100.0,-0.562413390242559,0
-148.5721,90,2.112709,-100.0,-1.6373409863768131,0
-50.815777,61,2.195111,-100.0,-0.23772971632288536,0
-49.923593,61,2.289306,-100.0,-0.3780115590196623,0
-131.176995,114,2.447472,-100.0,-0.2607199695619475,0
-54.697631,60,2.528514,-100.0,-0.7042068769239976,0
-53.348671,67,2.612927,-100.0,-0.1395028372139649,0
-74.461644,76,2.721144,-100.0,-0.5546121291038967,0
-90.841015,89,3.84069,-100.0,-0.5522114215188377,0
-54.004835,63,3.927425,-100.0,-0.21447388196361322,0
-78.999651,85,4.053552,-100.0,-0.3014271981807695,0
-92.332006,86,4.172663,-100.0,-0.688748179906383,0
-147.546137,122,4.355345,-100.0,-0.9820401610952159,0
-53.11756,65,4.493839,-100.0,-0.1522052106215786,0
-66.071148,73,4.633913,-100.0,-0.6322521830025554,0
-117.425228,103,4.878366,-100.0,-0.7815671077302592,0
-81.457133,77,5.003266,-100.0,-0.9115591348164215,0
-145.983405,121,5.19715,-100.0,-0.9147269369727467,0
-115.534991,106,5.357037,-100.0,-0.22261279280653026,0
-86.998483,92,5.493481,-100.0,-0.16530209572024204,0
-52.919762,69,6.564262,-100.0,4.512892042422021,0
-88.966256,84,6.673317,-100.0,-0.5977435956759966,0
-96.035092,89,6.788453,-100.0,-0.4999935742918176,0
-55.021743,64,6.874053,-100.0,-0.34744065155267206,0
-89.955394,84,6.981582,-100.0,-0.7063105390507913,0
-99.744593,94,7.104906,-100.0,-0.5600138002438493,0
-92.117028,90,7.223455,-100.0,-0.7494737333577137,0
-99.845717,92,7.346707,-100.0,-0.7262914253468045,0
-149.378006,123,7.509633,-100.0,-0.20356901536477323,0
-109.814722,107,7.645735,-100.0,-0.7901491902316031,0
-52.856293,61,7.723375,-100.0,-0.39553629115569267,0
-66.213163,70,7.81649,-100.0,-0.5963712671429084,0
-90.292186,87,8.895374,-100.0,-0.3032272658285903,0
-47.333941,58,8.972893,-100.0,-0.22971227187926033,0
-82.821973,84,9.081967,-100.0,-0.18158522921057443,0
-104.424696,97,9.208714,-100.0,-0.2871893039116997,0
-88.250464,84,9.325456,-100.0,-0.4313113795980953,0
-60.758783,65,9.409048,-100.0,-0.4862543694949223,0
-106.43007,89,9.540066,-100.0,-0.6846592365364272,0
-73.422452,76,9.67215,-100.0,-0.5951499179905718,0
-51.269107,59,9.798646,-100.0,-0.3153585954170991,0
-56.475936,72,9.942167,-100.0,-0.36145239160363046,0
-68.884422,74,10.071409,-100.0,-0.3280998796975746,0
-74.639544,76,10.188706,-100.0,-0.8553989605505676,0
-94.975322,92,10.407474,-100.0,-0.3849479294606567,0
-47.62817,56,11.538889,-100.0,-0.3052339381948167,0
-97.741523,96,11.681301,-100.0,-0.17308775545713828,0
-92.4726,89,11.812319,-100.0,-0.40541714297908527,0
-71.779647,79,11.938715,-100.0,-0.13215932716254464,0
-116.511051,106,12.094418,-100.0,-0.29259048176787195,0
-70.389699,74,12.193408,-100.0,-0.8614180197093175,0
-113.398755,93,12.316651,-100.0,-1.150971583827326,0
-71.829762,78,12.417659,-100.0,-0.31734683102444095,0
-78.299496,79,12.519024,-100.0,-0.3842662412757645,0
-83.909338,87,12.640835,-100.0,-0.6232283937461204,0
-59.137074,64,12.725523,-100.0,-0.3194523158203276,0
