#{"t_start": 1782940718.3999276, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-0.703004,94,2.792357,-100.0,-0.0971580296754837,0
-2.341644,112,3.190954,-100.0,-0.057877443730831146,0
-1.862419,81,3.425833,-100.0,-0.05577067285776138,0
-0.533774,109,3.712235,-100.0,-0.025382651016116142,0
-1.996369,101,3.981629,-100.0,-0.0438380092382431,0
0.239475,72,4.19978,-100.0,-0.10345685482025146,0
-1.36715,102,4.467766,-100.0,-0.12778809666633606,0
0.105547,64,4.633044,-100.0,-0.07158131897449493,0
0.406107,79,4.834444,-100.0,-0.008054438047111034,0
-2.170187,92,5.074864,-100.0,-0.08336826413869858,0
-1.754872,75,5.263859,-100.0,-0.08264745771884918,0
-2.800684,123,7.242026,-100.0,-0.04195253551006317,0
-2.194957,102,7.513408,-100.0,-0.02337564155459404,0
-3.15576,134,7.862863,-100.0,-0.042247481644153595,0
-0.105192,101,8.272313,-100.0,-0.1139300987124443,0
-0.937176,101,8.807563,-100.0,-0.10529960691928864,0
-1.13161,128,9.161157,-100.0,-0.011115709319710732,0
-0.30836,113,9.497402,-100.0,-0.004811946768313646,0
-0.348959,92,9.743929,-100.0,-0.107356958091259,0
-0.97794,98,10.008993,-100.0,-0.09284725785255432,0
-1.081918,71,10.151871,-100.0,-0.044284287840127945,0
-2.713122,108,12.082835,-100.0,-0.042239025235176086,0
-2.387128,117,12.407704,-100.0,-0.03406212478876114,0
-1.341558,86,12.641933,-100.0,-0.09947865456342697,0
-0.009276,68,12.825192,-100.0,-0.11964333802461624,0
-2.100925,94,13.076966,-100.0,-0.04375135898590088,0
-3.542828,91,13.404176,-100.0,-0.14070242643356323,0
-0.712414,115,13.902115,-100.0,-0.11837968975305557,0
1.114433,65,14.094254,-100.0,-0.004178524482995272,0
-2.655374,125,14.438155,-100.0,-0.11498364806175232,0
-0.329495,65,14.595586,-100.0,-0.12393157929182053,0
-1.889757,116,16.506162,-100.0,-0.04934461787343025,0
0.456195,63,16.692969,-100.0,-0.12240035086870193,0
-0.811922,99,16.953085,-100.0,-0.11628894507884979,0
-1.476165,125,17.299827,-100.0,-0.021030208095908165,0
-0.058898,72,17.489127,-100.0,-0.009075947105884552,0
0.379996,72,17.683511,-100.0,-0.007785596884787083,0
0.263925,61,17.839719,-100.0,-0.120157390832901,0
-1.660664,136,18.18793,-100.0,-0.09145750850439072,0
-0.052607,123,18.528645,-100.0,-0.10819807648658752,0
0.300542,74,18.828491,-100.0,-0.12251275032758713,0
-3.27967,114,19.218042,-100.0,-0.08273529261350632,0
0.201151,71,21.075933,-100.0,-0.12176412343978882,0
-1.817379,91,21.318256,-100.0,-0.07062990963459015,0
0.066118,99,21.583717,-100.0,-0.10203932970762253,0
-3.080918,111,21.914286,-100.0,-0.09747893363237381,0
-1.59346,96,22.159471,-100.0,-0.15379799902439117,0
-0.158615,70,22.353639,-100.0,-0.0852271243929863,0
0.116776,85,22.58647,-100.0,-0.07913444936275482,0
0.062878,69,22.807743,-100.0,-0.09972657263278961,0
-0.907207,94,23.05584,-100.0,-0.017709143459796906,0
0.998119,71,23.2299,-100.0,-0.12828408181667328,0
0.357619,94,23.466853,-100.0,-0.07456418126821518,0
-1.240358,113,23.709709,-100.0,-0.061240147799253464,0
0.14917,65,25.902691,-100.0,-0.024944966658949852,0
0.266932,80,26.103482,-100.0,-0.1025489866733551,0
0.132561,57,26.278937,-100.0,-0.06915168464183807,0
0.242822,83,26.493829,-100.0,-0.11538480967283249,0
0.101186,96,26.745925,-100.0,-0.13242603838443756,0
0.322604,106,27.029961,-100.0,-0.1254824846982956,0
0.253982,100,27.278967,-100.0,-0.12751047313213348,0
-2.958972,121,27.607866,-100.0,-0.10595735907554626,0
-0.73487,71,27.794639,-100.0,-0.14116764068603516,0
-0.090919,66,27.961987,-100.0,-0.13278357684612274,0
1.054716,56,28.125998,-100.0,-0.0067448606714606285,0
0.389008,107,28.358257,-100.0,-0.003758152248337865,0
-0.283936,92,30.461662,-100.0,-0.1304549127817154,0
0.972905,64,30.629889,-100.0,-0.1435755044221878,0
0.64145,60,30.814618,-100.0,-0.13627667725086212,0
0.607424,85,31.059906,-100.0,-0.12120431661605835,0
0.025511,84,31.271855,-100.0,-0.14023783802986145,0
0.821616,79,31.47187,-100.0,-0.12166225910186768,0
-0.466809,79,31.68696,-100.0,-0.009245731867849827,0
0.042793,97,31.960685,-100.0,-0.017506085336208344,0
0.100392,58,32.109725,-100.0,-0.028335414826869965,0
0.155235,89,32.344843,-100.0,-0.12883181869983673,0
0.282826,61,32.504138,-100.0,-0.11743486672639847,0
0.133454,55,32.653205,-100.0,-0.1322392374277115,0
0.018753,60,32.804011,-100.0,-0.06673255562782288,0
-0.961111,84,32.985075,-100.0,-0.06798303872346878,0
