#{"t_start": 1783445993.5109732, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-3.248599,103,2.199736,-100.0,-0.24111859661747098,0
-0.411615,84,2.369769,-100.0,-0.019573608040460624,0
1.504602,93,2.561659,-100.0,1.2105404709407557,0
-0.334305,97,2.881567,-100.0,-0.022296841845251048,0
-4.094689,88,3.078221,-100.0,-0.2016095337731424,0
-2.96296,86,3.260813,-100.0,-0.1653634761400681,0
0.579132,93,3.457441,-100.0,-0.019761696740521705,0
-2.672949,124,3.73,-100.0,-0.12273382231489816,0
1.65646,107,3.952522,-100.0,1.9762617057584735,0
-1.967284,79,4.130589,-100.0,-0.03172265727210022,0
2.823688,79,5.864772,-100.0,1.6344741057619128,0
-0.111226,76,6.031769,-100.0,-0.05641085017400888,0
0.758189,111,6.259198,-100.0,-0.01494423378615658,0
-2.819659,90,6.45127,-100.0,-0.09202031314749846,0
-5.738451,110,6.737184,-100.0,-0.20260867828539494,0
0.007496,65,6.866786,-100.0,-0.0597227011098688,0
-4.672511,126,7.133655,-100.0,-0.09032386149849998,0
-2.183348,97,7.342141,-100.0,-0.07426599508875484,0
-2.513271,72,7.490777,-100.0,-0.1266224676705195,0
540.157598,1000,11.277645,2.540988954761333,-0.02035551987060269,0
1.666698,64,11.420775,-100.0,1.0138406820883836,0
0.379199,82,11.588788,-100.0,-0.026735972694725618,0
-1.193041,64,11.744507,-100.0,-0.08978588966226383,0
-6.436245,99,13.541469,-100.0,-0.17562758684002455,0
1.542172,94,13.786739,-100.0,0.9994524542907408,0
-0.530412,86,13.997211,-100.0,0.8180451362449986,0
0.228608,93,14.179394,-100.0,-0.039133072206634,0
0.749998,75,14.32505,-100.0,1.1103121063885373,0
3.294971,78,14.59137,-100.0,1.971212555620224,0
3.900722,74,14.813215,-100.0,1.9618824611500485,0
-1.251383,77,15.007437,-100.0,-0.06103710317098287,0
0.696986,104,15.232551,-100.0,1.1226210984698448,0
-1.000673,79,15.376796,-100.0,-0.07974407213379009,0
2.671622,69,15.549656,-100.0,1.826633938192217,0
-5.936285,97,15.756689,-100.0,-0.23437443090360538,0
1.566772,60,15.885543,-100.0,0.890193219170554,0
3.953239,56,17.598482,-100.0,1.9848773649912075,0
-1.652383,86,17.771592,-100.0,-0.02295465321048229,0
-6.280508,110,18.033935,-100.0,-0.1949051972303606,0
-0.115677,113,18.277348,-100.0,-0.04137360923065489,0
0.919787,63,18.403552,-100.0,-0.02464002320496657,0
-4.898873,88,18.590497,-100.0,-0.16869186890689097,0
-3.123136,73,18.746235,-100.0,-0.1800551856836785,0
-0.013564,81,18.919036,-100.0,-0.06361251933420184,0
0.347858,63,19.054879,-100.0,-0.030617471086479928,0
-0.136548,60,19.183123,-100.0,-0.06208331576418852,0
-4.479966,103,19.409698,-100.0,-0.12928663430354834,0
-0.695638,77,19.593915,-100.0,-0.05090957758138233,0
1.829111,60,19.736092,-100.0,0.886916612011434,0
-1.814217,91,21.462657,-100.0,-0.01779425589229444,0
-0.215936,80,21.623305,-100.0,-0.05467810754270952,0
-2.836187,87,21.805707,-100.0,-0.0873431317491822,0
1.758089,94,22.005535,-100.0,1.0667799395572677,0
-1.66983,86,22.183649,-100.0,-0.16885041111381596,0
0.326362,99,22.407825,-100.0,0.6965545078489956,0
-0.732695,86,22.590041,-100.0,-0.0668614445066941,0
0.03867,77,22.749282,-100.0,-0.03828357600922439,0
-2.247099,112,22.988353,-100.0,-0.031345231693574484,0
-1.928321,98,23.183014,-100.0,-0.022044817300955602,0
2.656076,59,23.31536,-100.0,1.5902006010509102,0
0.083721,59,23.435005,-100.0,-0.054427391361363084,0
0.229488,76,25.131558,-100.0,-0.02335593453877576,0
2.306434,59,25.279151,-100.0,1.6265362568323805,0
2.778495,94,25.490581,-100.0,1.7614391735857087,0
2.400766,76,25.662382,-100.0,1.6036524761242865,0
-4.353966,114,25.887768,-100.0,-0.028137450026710222,0
-0.260088,64,26.030981,-100.0,-0.047777736244342235,0
0.059713,61,26.158509,-100.0,-0.037797011783110665,0
2.023874,58,26.284494,-100.0,1.8336511889615486,0
0.575432,68,26.429374,-100.0,1.0264152930913026,0
-2.377572,110,26.655668,-100.0,1.0366682953198323,0
0.339397,89,26.863736,-100.0,-0.023413687118231843,0
0.703132,78,27.030808,-100.0,-0.007215078194860969,0
-1.896575,108,28.777589,-100.0,-0.05559294196986895,0
-1.727456,103,28.984667,-100.0,-0.027157116522381865,0
-0.26786,76,29.140629,-100.0,-0.05597086081367696,0
-1.350918,85,29.328289,-100.0,-0.07781173219294074,0
0.688159,65,29.47483,-100.0,-0.05339282529869331,0
3.691786,68,29.621368,-100.0,1.986462870817531,0
0.864902,93,29.833208,-100.0,1.0044955597990453,0
1.345623,55,29.942646,-100.0,0.981271003982678,0
1.255745,99,30.147725,-100.0,1.0504646922903218,0
1.585575,112,30.407737,-100.0,1.356626596710401,0
-0.311231,59,30.543449,-100.0,-0.08148379907729537,0
1.390254,65,30.692663,-100.0,0.8364386180054867,0
1.9341,70,30.837262,-100.0,1.0629187267153823,0
-0.48708,87,32.541561,-100.0,-0.058939098922717294,0
-1.429806,86,32.727839,-100.0,-0.07526581931932784,0
3.576923,87,32.896755,-100.0,1.9916007356893928,0
0.672596,70,33.04668,-100.0,-0.019701680033359675,0
0.25554,68,33.200933,-100.0,-0.04138471000537008,0
0.24594,64,33.349073,-100.0,-0.04116291563679261,0
0.621183,55,33.475072,-100.0,-0.03479015505965285,0
-0.162159,88,33.66028,-100.0,-0.034924497741927074,0
3.829168,89,33.833984,-100.0,1.3850408831466625,0
3.089878,67,33.99313,-100.0,1.8037072943837535,0
0.276985,85,34.184908,-100.0,0.7945674837257701,0
-1.415641,93,34.362059,-100.0,-0.06258768566463194,0
-1.036819,73,34.521414,-100.0,-0.07028536091214264,0
-2.796431,116,36.497152,-100.0,-0.04458843603295737,0
0.391677,56,36.611343,-100.0,-0.050920719798843425,0
0.242763,62,36.731243,-100.0,-5.7954404375049106e-05,0
2.068715,54,36.842549,-100.0,0.9170298312982844,0
2.496331,55,36.960089,-100.0,1.2252086483752938,0
-0.351048,53,37.07928,-100.0,-0.03786919196790414,0
0.569075,67,37.227968,-100.0,-0.017005404578310956,0
1.614379,57,37.348229,-100.0,-0.017030003812238646,0
0.766521,62,37.481904,-100.0,-0.02101321929107265,0
1.377599,79,37.654682,-100.0,1.060807434994455,0
1.322834,76,37.837999,-100.0,0.9566729027774714,0
0.041841,78,38.022495,-100.0,-0.016123918441722163,0
0.667813,85,38.201672,-100.0,-0.01526259096017375,0
0.240557,82,38.387783,-100.0,-0.015049760351522818,0
0.835201,83,38.594768,-100.0,-0.016186896730946296,0
2.107114,91,40.302191,-100.0,0.9864853531327407,0
0.808424,92,40.533057,-100.0,1.3679721536321354,0
4.086376,81,40.739999,-100.0,1.849931801578659,0
2.21767,67,40.899565,-100.0,0.975589376421638,0
-0.062233,69,41.046682,-100.0,-0.036497780098362555,0
0.090499,70,41.195942,-100.0,-0.03497342128601375,0
-3.487972,88,41.378768,-100.0,-0.09094101578807852,0
-0.014161,94,41.580269,-100.0,-0.03106612138058991,0
3.931502,60,41.723216,-100.0,1.9820501825211891,0
1.216082,80,41.885006,-100.0,0.9957500824603966,0
3.007964,77,42.059547,-100.0,1.8973227715416274,0
1.261197,94,42.258685,-100.0,0.9318922422642044,0
-0.055574,78,42.424093,-100.0,-0.015645334238434828,0
2.290464,91,44.113397,-100.0,1.9740616465054155,0
1.323436,88,44.308766,-100.0,1.007119020556759,0
1.722815,61,44.433381,-100.0,1.062486557264615,0
0.30652,67,44.569929,-100.0,0.0017492141009043168,0
3.922912,75,44.722458,-100.0,1.9957111975836515,0
3.101316,65,44.851805,-100.0,1.8121039792287246,0
3.353207,78,45.014034,-100.0,1.9858034189127456,0
0.582799,92,45.219002,-100.0,1.2556817198856667,0
0.798284,94,45.403957,-100.0,-0.014785912753107346,0
2.351044,64,45.556281,-100.0,1.1101104443892225,0
0.221637,94,45.758991,-100.0,-0.03378980699023143,0
0.506031,78,45.922417,-100.0,-0.026365736618103278,0
0.816414,68,46.062473,-100.0,-0.022143009687233296,0
3.71931,71,47.657172,-100.0,1.8299443105668962,0
2.028351,86,47.834917,-100.0,1.4997714168822824,0
1.153616,70,47.975624,-100.0,1.0289024997676786,0
1.224928,65,48.140669,-100.0,0.9636186171447124,0
1.115441,69,48.293709,-100.0,0.8231819883670269,0
1.809497,71,48.444068,-100.0,0.9756605861198756,0
2.579995,60,48.578525,-100.0,1.0010702941893852,0
2.53371,85,48.760407,-100.0,1.9776054791483917,0
3.412141,61,48.890454,-100.0,1.8576505941649128,0
2.521651,77,49.057073,-100.0,1.6541857227242514,0
-0.060363,82,49.248924,-100.0,-0.010144819907675885,0
1.83903,58,49.387916,-100.0,0.9807285684381871,0
2.659328,57,49.497316,-100.0,1.9490406071400703,0
2.649958,98,49.706263,-100.0,1.5891294285094733,0
3.734325,83,51.384308,-100.0,1.863233750059163,0
0.980097,54,51.502774,-100.0,-0.001972326578710748,0
3.701755,57,51.621935,-100.0,1.972809310593769,0
0.747139,85,51.804027,-100.0,-0.012167358864885602,0
1.126906,85,52.004345,-100.0,-0.01045581777278658,0
3.951176,77,52.180563,-100.0,1.9866749678683062,0
1.023321,67,52.338412,-100.0,-0.021858108119231303,0
1.558415,82,52.523334,-100.0,0.8960750546497581,0
-0.236683,83,52.685543,-100.0,-0.024072242167448455,0
1.383993,68,52.827398,-100.0,0.9244033956834635,0
3.061912,75,53.011586,-100.0,1.9788134441103424,0
2.930763,84,53.200537,-100.0,1.7269952488033227,0
0.9057,63,53.322489,-100.0,0.00019171446325716435,0
0.452028,68,53.458315,-100.0,-0.029550922167032114,0
0.734268,74,55.094755,-100.0,-0.006259748114362241,0
2.395514,90,55.329008,-100.0,1.873377603731127,0
4.54185,73,55.499456,-100.0,1.941329620820497,0
0.572464,78,55.682224,-100.0,-0.017814389311215418,0
1.764748,62,55.818729,-100.0,0.9474405614903064,0
0.416585,99,56.013516,-100.0,-0.024429601961213,0
0.511931,75,56.189503,-100.0,-0.0038636721732531413,0
0.480151,58,56.319811,-100.0,-0.028187086161446707,0
2.132934,69,56.484832,-100.0,0.9246433791502915,0
3.796897,69,56.760924,-100.0,1.971178375654069,0
1.910465,62,56.898481,-100.0,0.912972271003259,0
0.936295,82,57.064017,-100.0,-0.006233132507503192,0
3.408077,86,57.238514,-100.0,1.98759723432884,0
3.903727,79,58.916585,-100.0,1.9830374787939629,0
1.773881,84,59.105933,-100.0,0.9260784713149325,0
1.532771,79,59.259395,-100.0,0.9117459032072317,0
1.456859,76,59.412293,-100.0,-0.010947172627943346,0
0.720163,54,59.521246,-100.0,0.0004424027535620545,0
-0.10026,93,59.715206,-100.0,-0.012613355974080642,0
3.780962,56,59.825294,-100.0,1.9893231726484835,0
0.61627,85,60.028668,-100.0,-0.01640012746079742,0
2.412178,68,60.159662,-100.0,1.397820181960243,0
0.807998,97,60.359079,-100.0,0.9222928119158764,0
1.409341,78,60.562566,-100.0,1.0073615371938862,0
1.976955,58,60.697321,-100.0,1.300362869523508,0
0.754158,68,60.844651,-100.0,-0.017409484319981173,0
2.018064,82,61.020489,-100.0,1.811040336357775,0
3.830779,60,62.628932,-100.0,1.98775931664999,0
0.452206,87,62.833293,-100.0,-0.002475078846796498,0
0.685752,85,63.01674,-100.0,0.8636209877619827,0
1.407866,78,63.189005,-100.0,1.1174884297460508,0
3.486844,71,63.348407,-100.0,1.7734231189470473,0
3.095321,64,63.53499,-100.0,1.6782808699411844,0
2.093997,66,63.683014,-100.0,1.3086473625323234,0
2.559797,90,63.875314,-100.0,-0.00043585049524923485,0
1.768601,57,64.001219,-100.0,0.9452958757922945,0
3.787508,71,64.163748,-100.0,1.9930931780578924,0
2.924411,82,64.33528,-100.0,1.6193216084866329,0
2.411169,92,64.524173,-100.0,1.0113686066438758,0
1.631733,58,64.654629,-100.0,0.8445700260494495,0
3.449588,72,64.81298,-100.0,1.9909882629761724,0
2.476566,83,66.492467,-100.0,-0.0020178561511187357,0
0.859485,66,66.718488,-100.0,-0.015100132641984464,0
0.221387,98,66.947628,-100.0,-0.01746148583078746,0
-0.016656,93,67.14055,-100.0,-0.01696977557208308,0
0.475706,83,67.325199,-100.0,-0.012708820486825968,0
0.822534,63,67.440088,-100.0,-0.003351567291998603,0
1.714899,60,67.55495,-100.0,-0.015520862670004238,0
3.590049,67,67.707706,-100.0,1.984417815377114,0
3.425265,81,67.908014,-100.0,1.9551982174061895,0
2.384579,67,68.055373,-100.0,1.764317374516358,0
0.720459,58,68.189669,-100.0,-0.013431647860702767,0
1.416429,86,68.403663,-100.0,1.0188426390968333,0
2.210563,53,68.501405,-100.0,1.0422041760868077,0
3.676133,71,68.659342,-100.0,1.9890227190723595,0
0.465919,68,70.313302,-100.0,-0.021630823507589603,0
2.468767,69,70.455485,-100.0,0.9737564575625006,0
1.032557,62,70.588358,-100.0,-0.0024379616956387573,0
2.153956,73,70.76931,-100.0,0.9591033124798204,0
3.402402,86,70.94308,-100.0,1.712715413441026,0
1.553784,69,71.075438,-100.0,0.9696474675998608,0
2.084408,69,71.232196,-100.0,1.3003445091184467,0
3.336399,71,71.401786,-100.0,1.8844273499855215,0
1.404231,83,71.577454,-100.0,0.8088642903623416,0
3.265451,92,71.780596,-100.0,1.982590148676651,0
0.922074,66,71.914017,-100.0,0.001260795600113529,0
3.682437,64,72.048785,-100.0,1.8563397931947108,0
0.246807,68,72.194434,-100.0,-0.0005145879450162206,0
0.218751,90,72.391411,-100.0,-0.012776646855217687,0
1.620628,69,74.024373,-100.0,0.9250414196406521,0
1.986389,88,74.216282,-100.0,1.4311099603142747,0
0.712194,66,74.358671,-100.0,-0.004846954172469953,0
3.67669,80,74.527609,-100.0,1.9725104730615357,0
1.383813,83,74.700995,-100.0,0.890789673488384,0
1.508238,83,74.888347,-100.0,0.9363610228632164,0
3.224485,86,75.09476,-100.0,1.9002617067595886,0
3.527765,57,75.225385,-100.0,1.7717149023050265,0
0.481878,93,75.428085,-100.0,-0.013508732542028314,0
1.920726,63,75.54974,-100.0,1.2680767321021358,0
3.040917,76,75.718914,-100.0,1.8844129674165109,0
0.443956,86,75.900494,-100.0,0.000412275670439932,0
0.87082,82,76.069113,-100.0,-0.01209503462092817,0
3.867159,68,77.808381,-100.0,1.9865959588276505,0
2.164018,92,78.008454,-100.0,1.6591876341276492,0
3.664367,89,78.209531,-100.0,1.8869689564313203,0
3.957355,71,78.344711,-100.0,1.98913668816859,0
1.817896,87,78.510926,-100.0,0.9000219485966001,0
0.999759,61,78.646629,-100.0,-0.008829026685242264,0
3.965115,62,78.795399,-100.0,1.9961747450830798,0
1.871558,57,78.948233,-100.0,0.9879550070520439,0
0.92214,59,79.08071,-100.0,-0.01422088892631541,0
3.626532,54,79.203854,-100.0,1.9472074806280366,0
0.566014,92,79.372924,-100.0,-0.009042968238809235,0
1.819718,81,79.571407,-100.0,0.9136392790314666,0
1.67776,67,79.71902,-100.0,0.9548150316179882,0
2.053844,68,79.866323,-100.0,1.2258705238001915,0
3.17898,75,81.544168,-100.0,1.9911150874675443,0
3.823027,79,81.71461,-100.0,1.936653645243789,0
3.685111,56,81.830574,-100.0,1.978326499823903,0
0.376735,82,82.03815,-100.0,-0.017995376852754895,0
1.746262,72,82.221454,-100.0,-0.004332974295474024,0
0.372734,74,82.405011,-100.0,-0.018831752310906148,0
1.759421,70,82.570392,-100.0,0.9362648966030439,0
3.600591,67,82.733471,-100.0,1.9857416050385002,0
0.584344,68,82.906636,-100.0,-0.005405023989178948,0
0.931843,65,83.0458,-100.0,-0.011344256137892838,0
0.898524,65,83.18145,-100.0,-0.006154030878595812,0
3.661689,85,83.360597,-100.0,1.9807828984373226,0
0.997749,61,83.486937,-100.0,-0.014941966031926079,0
0.912027,58,83.612534,-100.0,-0.01170424158545843,0
2.32038,70,83.756517,-100.0,1.6071667569908585,0
2.525657,91,85.440232,-100.0,1.9018577161491503,0
3.356771,89,85.625556,-100.0,1.7277630204966288,0
0.7513,77,85.784717,-100.0,-0.02276200230278539,0
3.547994,78,85.945704,-100.0,1.9884023427792787,0
0.880189,57,86.065524,-100.0,-0.01598627558523642,0
1.04367,88,86.267226,-100.0,0.886989755188472,0
1.218629,99,86.506367,-100.0,0.9147496634174009,0
2.829715,85,86.688031,-100.0,1.9642910465996994,0
0.815529,71,86.835024,-100.0,-0.016127727396941342,0
0.381449,88,87.025206,-100.0,0.00189635665803749,0
0.840263,66,87.178886,-100.0,-0.011692009674158954,0
0.134613,92,87.372021,-100.0,-0.02270771596966179,0
0.695221,68,89.036076,-100.0,-0.020048284519160707,0
3.235097,67,89.170208,-100.0,1.8347274808792309,0
1.565728,54,89.294444,-100.0,0.833621538868288,0
0.767429,52,89.404885,-100.0,-0.0038349650895528557,0
2.409296,64,89.556013,-100.0,-0.003773615214513959,0
1.961661,94,89.767014,-100.0,0.9273961343509138,0
3.754394,60,89.884887,-100.0,1.9596344464624698,0
1.79537,70,90.032735,-100.0,0.9410251892591033,0
0.315058,89,90.229863,-100.0,-0.01276348586118057,0
0.771691,97,90.447252,-100.0,0.0007935603295064374,0
2.892709,83,90.622231,-100.0,1.8233773494260037,0
0.195742,96,90.825561,-100.0,-0.017762696921820476,0
3.832401,74,91.011187,-100.0,1.9920637171014692,0
3.772115,72,91.183212,-100.0,1.9763602844257615,0
0.609007,73,93.009531,-100.0,-0.020574353835004545,0
3.928274,56,93.136978,-100.0,1.9881902356977514,0
1.8868,77,93.302183,-100.0,-0.01059585317290139,0
3.038661,67,93.438972,-100.0,1.7922831342522616,0
3.839937,66,93.583172,-100.0,1.9859319441592878,0
1.806081,73,93.750279,-100.0,0.9005015352885871,0
3.90484,72,93.920863,-100.0,1.99052164435602,0
0.23686,99,94.183792,-100.0,-0.02542502839840325,0
3.470439,94,94.371928,-100.0,1.991084407894842,0
2.731495,83,94.539977,-100.0,1.8670634156212242,0
3.688158,81,94.729174,-100.0,1.9793263121118694,0
0.904092,67,94.893351,-100.0,-0.01004395418413805,0
2.27372,56,95.004015,-100.0,-0.015123720305033644,0
3.302794,63,95.135643,-100.0,1.6551095958470199,0
2.831392,56,96.78737,-100.0,1.9858819137630213,0
1.7572,53,96.912105,-100.0,0.8821236900823988,0
1.217689,87,97.085773,-100.0,-0.012929303296599649,0
1.354546,93,97.296167,-100.0,0.8996794214876209,0
0.363844,91,97.482462,-100.0,-0.026954432412765073,0
0.401065,69,97.747237,-100.0,-0.007088356211049674,0
0.331135,72,97.918164,-100.0,-0.024096223411415596,0
1.025962,54,98.037692,-100.0,-0.0123916597474369,0
1.357346,88,98.264449,-100.0,0.9314696246946266,0
0.536248,75,98.425148,-100.0,-0.026680098103696537,0
0.850024,60,98.544856,-100.0,-0.014041833605230198,0
0.954963,51,98.660383,-100.0,-0.002016316397655682,0
2.838108,52,98.78774,-100.0,1.8187341910079375,0
3.851307,79,98.955908,-100.0,1.980898270205365,0
1.161259,78,99.11041,-100.0,0.9532365499978531,0
1.449253,69,100.732191,-100.0,0.9654279065415069,0
0.498591,80,100.891955,-100.0,-0.018689752583477118,0
0.820946,74,101.074204,-100.0,-0.0204119943113625,0
1.885137,86,101.263794,-100.0,0.9281356444121898,0
0.499003,87,101.443404,-100.0,-0.02268782240758569,0
3.796316,79,101.603139,-100.0,1.9798996426870419,0
0.942504,64,101.753767,-100.0,-0.011127265743605341,0
3.854938,53,101.892306,-100.0,1.981256248764006,0
1.71361,58,102.007019,-100.0,0.8454317420449748,0
3.901725,83,102.176316,-100.0,1.9923909622233187,0
0.37473,81,102.358546,-100.0,-0.021294597964068473,0
1.94586,91,102.552095,-100.0,0.9527146116855612,0
2.150237,68,102.696162,-100.0,1.3050359087292638,0
0.566867,85,104.379536,-100.0,-0.015024820128664306,0
3.094265,86,104.55447,-100.0,1.650470453277802,0
2.703133,61,104.681382,-100.0,0.9580817819094612,0
0.544659,98,104.904107,-100.0,-0.018100471214941672,0
0.888167,70,105.051254,-100.0,-0.012116419078990581,0
3.702013,62,105.196184,-100.0,1.8807088020269103,0
3.364625,62,105.34041,-100.0,1.7514491881742238,0
1.945105,95,105.539777,-100.0,1.0129149352471016,0
1.669207,88,105.717458,-100.0,0.8941289985054778,0
1.05286,61,105.859021,-100.0,-0.00839933539682059,0
2.500169,65,105.99512,-100.0,0.9284554255652234,0
2.734439,87,106.202182,-100.0,1.6816774084553574,0
1.649222,83,106.386438,-100.0,0.978155560626414,0
0.644412,64,106.530444,-100.0,-0.02462947545100197,0
2.626869,63,108.252744,-100.0,1.025185165139866,0
3.885665,84,108.438079,-100.0,1.989343937470827,0
1.874624,62,108.562879,-100.0,0.9511443432938927,0
2.566721,94,108.750849,-100.0,1.568841215427942,0
4.01852,57,108.881915,-100.0,1.9763185361546871,0
2.071124,91,109.062294,-100.0,1.0147958443648513,0
3.204616,87,109.276331,-100.0,1.9459817305465974,0
0.683427,69,109.432704,-100.0,-0.00558142095580001,0
3.791479,82,109.596879,-100.0,1.986272719726356,0
1.763757,61,109.754626,-100.0,0.9127525060309551,0
1.634139,90,109.954612,-100.0,0.8673939790764807,0
2.01797,65,110.104518,-100.0,1.060703774387075,0
1.359828,85,110.30818,-100.0,0.9592661126661856,0
0.961289,53,111.996744,-100.0,0.0031660231681629016,0
0.326857,84,112.165698,-100.0,-0.008926737470018976,0
0.62412,79,112.361336,-100.0,-0.007113555499139679,0
1.933813,90,112.563909,-100.0,0.9230546303571024,0
1.646004,64,112.711592,-100.0,0.8897464225609539,0
3.136846,82,112.892329,-100.0,1.9684533480300517,0
1.797346,77,113.058132,-100.0,0.9370290334390987,0
3.721126,57,113.162771,-100.0,1.8656193829158012,0
2.919114,72,113.30931,-100.0,1.5349407551451726,0
1.743819,71,113.465331,-100.0,0.8755112185975715,0
2.256551,66,113.604059,-100.0,1.4089225523049622,0
1.628357,68,113.741418,-100.0,0.9001246274602207,0
0.686348,79,113.895878,-100.0,-0.009733104377877656,0
1.814851,70,114.055282,-100.0,0.9850649673930448,0
1.718513,61,114.180634,-100.0,0.9485437524289161,0
1.139912,79,115.856522,-100.0,0.9021682363494321,0
1.75245,75,116.019983,-100.0,1.0371838793678936,0
3.825085,61,116.152321,-100.0,1.9854110933150142,0
3.439616,87,116.340466,-100.0,1.751436909940897,0
3.875492,64,116.478324,-100.0,1.986808085715062,0
0.257332,68,116.632322,-100.0,-0.029364950101363196,0
3.779645,85,116.806714,-100.0,1.9753744679387584,0
