#{"t_start": 1782937117.6794834, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-19.387725,94,3.022892,-100.0,-0.9440409541130066,0
-27.523665,112,3.26183,-100.0,-0.4815320372581482,0
-25.66577,81,3.427819,-100.0,-0.46174323558807373,0
-18.874461,109,3.668108,-100.0,-0.2718997895717621,0
-27.151997,101,3.861968,-100.0,-0.4018569588661194,0
-11.986738,72,4.014637,-100.0,-0.9932866096496582,0
-21.103052,102,4.217168,-100.0,-1.2252936363220215,0
-11.068068,64,4.341217,-100.0,-0.6818060278892517,0
-8.794621,79,4.482974,-100.0,-0.05771716684103012,0
-29.74478,92,4.664055,-100.0,-0.7439982891082764,0
-24.914808,75,4.835091,-100.0,-0.765556275844574,0
-32.67993,123,7.044484,-100.0,-0.38237330317497253,0
-23.208196,98,7.241127,-100.0,-0.38018712401390076,0
-11.949321,70,7.391892,-100.0,-0.7967588305473328,0
-41.623037,120,7.621867,-100.0,-0.6950598955154419,0
-11.502497,95,7.802161,-100.0,-0.9734194874763489,0
-11.223598,68,7.939255,-100.0,-0.947963297367096,0
-25.072321,138,8.230901,-100.0,-0.2503228783607483,0
-10.472959,65,8.371805,-100.0,-1.2143059968948364,0
-9.546209,73,8.510558,-100.0,-1.0460703372955322,0
-12.484023,64,8.634727,-100.0,-1.109602928161621,0
-9.084465,68,8.791553,-100.0,-1.0332939624786377,0
-17.832926,124,10.882495,-100.0,-0.26538848876953125,0
-18.937353,126,11.259241,-100.0,-0.9769980907440186,0
-29.111382,153,11.774424,-100.0,-0.1924685835838318,0
-45.623255,146,12.070688,-100.0,-0.950171947479248,0
-29.70638,70,12.199765,-100.0,-1.424049973487854,0
-11.906267,98,12.39091,-100.0,-1.1100997924804688,0
-18.747353,98,12.588861,-100.0,-1.206760287284851,0
-35.406264,120,12.843682,-100.0,-1.3475135564804077,0
-19.532219,111,13.113781,-100.0,-0.9778485298156738,0
-9.447781,63,13.267204,-100.0,-1.0869115591049194,0
-8.847509,83,15.133221,-100.0,-1.0388604402542114,0
-12.698076,78,15.283712,-100.0,-0.8741738200187683,0
-14.861738,120,15.537863,-100.0,-0.08767455071210861,0
-28.484413,100,15.730078,-100.0,-0.6712877750396729,0
-10.775621,74,15.870093,-100.0,-1.0663191080093384,0
-31.339099,96,16.069963,-100.0,-1.723113775253296,0
-19.10445,103,16.365965,-100.0,-0.24486303329467773,0
-11.46732,73,16.566629,-100.0,-1.0147022008895874,0
-12.277265,98,16.78108,-100.0,-1.0153944492340088,0
-32.7974,108,16.997213,-100.0,-1.371457576751709,0
-20.961677,84,17.220538,-100.0,-0.9731768369674683,0
-13.595029,67,19.12117,-100.0,-1.1476482152938843,0
-10.651732,74,19.289641,-100.0,-1.106926441192627,0
-9.681241,65,19.44158,-100.0,-1.1145867109298706,0
-37.812961,111,19.657076,-100.0,-0.7478564381599426,0
-13.921505,77,19.805304,-100.0,-1.108282208442688,0
-15.327005,100,20.001926,-100.0,-0.8801892995834351,0
-18.191176,106,20.215176,-100.0,-0.8177966475486755,0
-10.42039,67,20.355192,-100.0,-0.9439027309417725,0
-9.763415,59,20.468195,-100.0,-1.2325607538223267,0
-20.34444,98,20.658093,-100.0,-1.1379461288452148,0
-10.376565,65,20.796771,-100.0,-1.2408581972122192,0
-19.321033,101,21.003406,-100.0,-1.2309656143188477,0
-7.916538,54,23.148067,-100.0,-1.2203559875488281,0
-15.567472,76,23.348649,-100.0,-0.5033384561538696,0
-22.596644,117,23.640743,-100.0,-0.3791496753692627,0
-15.436275,90,23.80918,-100.0,-0.5962152481079102,0
-23.865884,97,23.984515,-100.0,-1.0053800344467163,0
-16.827049,89,24.160758,-100.0,-1.1864686012268066,0
-14.695796,78,24.327759,-100.0,-0.1840640902519226,0
-32.361043,111,24.545843,-100.0,-0.6518837213516235,0
