#{"t_start": 1783093668.5375078, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-6.180364,109,1.581848,-100.0,0.49092919939121926,0
-7.420526,70,1.681346,-100.0,-0.3959984166243561,0
-16.329766,84,1.802115,-100.0,-0.35265560335765594,0
-12.292351,93,1.931666,-100.0,-0.23290155169011878,0
-12.564606,137,2.130278,-100.0,-0.08043805129470065,0
-24.62959,89,2.261175,-100.0,-0.6910695551324101,0
-23.641642,112,2.414356,-100.0,-0.4162518645734529,0
-8.113407,90,2.540088,-100.0,-0.388576582573673,0
-9.508888,95,2.672714,-100.0,-0.3272240340555372,0
-16.190255,116,2.836914,-100.0,-0.15800385971649744,0
-8.232464,102,4.05299,-100.0,-0.35320436086998436,0
-13.787483,61,4.152549,-100.0,-0.5221009187666167,0
-14.099474,132,4.376396,-100.0,-0.42901563766649775,0
-12.768774,80,4.499378,-100.0,-0.34749577802621034,0
-11.329041,67,4.612612,-100.0,-0.48578899932099956,0
-12.689664,75,4.79929,-100.0,-0.20493281296931193,0
-12.691492,64,4.895615,-100.0,-0.30150757678739953,0
-7.763237,86,5.041628,-100.0,-0.33104350278867223,0
-10.932541,116,5.243171,-100.0,-0.3108328496737724,0
-11.092265,71,5.352113,-100.0,-0.37857623465782764,0
-15.560806,98,5.485893,-100.0,-0.30392974060067895,0
-8.787334,67,5.603274,-100.0,-0.3684518474152736,0
-11.556864,91,6.807253,-100.0,-0.40000755028800294,0
-12.696362,62,6.895002,-100.0,-0.33843466203944994,0
-16.346704,109,7.039849,-100.0,-0.24011709813656984,0
-14.165731,69,7.136885,-100.0,-0.33644296993315326,0
-13.541246,99,7.286541,-100.0,-0.10736933023097311,0
-9.428542,67,7.375762,-100.0,-0.45040831940697157,0
-11.635967,89,7.494834,-100.0,-0.12661329220694956,0
-9.144888,79,7.60877,-100.0,-0.24777279075876882,0
-11.032774,79,7.724805,-100.0,-0.3613780668127611,0
-8.130994,62,7.811724,-100.0,-0.34660558547644105,0
