#{"t_start": 1782942202.6768057, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
0.523114,92,2.878563,-100.0,-0.07008153945207596,0
-0.343147,116,3.231208,-100.0,-0.08699291944503784,0
-0.68586,120,3.646858,-100.0,-0.08130355924367905,0
-0.047656,80,3.935899,-100.0,-0.08488191664218903,0
0.30052,75,4.313688,-100.0,-0.10931713879108429,0
0.671621,75,4.54057,-100.0,0.0900404080748558,0
-0.848985,69,4.727717,-100.0,-0.051760606467723846,0
-0.885637,100,4.998198,-100.0,-0.07296010106801987,0
0.023634,106,5.279645,-100.0,0.016925141215324402,0
-0.925848,105,5.595131,-100.0,-0.09685134142637253,0
-0.752234,106,7.488125,-100.0,-0.03524068370461464,0
0.444048,108,7.777157,-100.0,-0.08366309106349945,0
-0.599987,140,8.1459,-100.0,-0.029209651052951813,0
-0.533961,150,8.572716,-100.0,-0.008707627654075623,0
-1.098435,91,8.827607,-100.0,-0.028090892359614372,0
0.883216,84,9.191817,-100.0,-0.06751491129398346,0
-0.420745,95,9.492263,-100.0,-0.019929999485611916,0
-0.248058,68,9.676833,-100.0,-0.05670596659183502,0
-0.594479,115,9.980346,-100.0,-0.020495103672146797,0
-0.736891,67,10.155002,-100.0,-0.02117469534277916,0
0.407455,97,11.996246,-100.0,-0.018288323655724525,0
-0.473377,131,12.345907,-100.0,-0.06301186233758926,0
0.07846,108,12.628997,-100.0,-0.0654233768582344,0
0.04508,146,13.016276,-100.0,-0.0781535878777504,0
-0.198455,127,13.34618,-100.0,0.0010384917259216309,0
-0.289524,88,13.590189,-100.0,-0.08148632198572159,0
-0.888217,93,13.83665,-100.0,-0.033096082508563995,0
-0.828509,99,14.118348,-100.0,-0.013303784653544426,0
-0.954778,89,14.511164,-100.0,-0.045984238386154175,0
-1.408438,158,16.755493,-100.0,-0.02189592644572258,0
0.888477,115,17.05687,-100.0,-0.07486163824796677,0
-0.102949,104,17.32561,-100.0,-0.0331297367811203,0
-0.4588,144,17.706554,-100.0,-0.0264775138348341,0
-0.700068,128,18.069788,-100.0,-0.031039219349622726,0
-0.716139,127,18.407306,-100.0,-0.07778261601924896,0
0.035114,116,18.753612,-100.0,-0.049396201968193054,0
-1.017659,78,18.948509,-100.0,-0.08257599920034409,0
0.57659,92,19.176314,-100.0,-0.05845307186245918,0
0.392924,127,21.304219,-100.0,-0.03634311631321907,0
-0.097524,85,21.542252,-100.0,-0.026669496670365334,0
-0.671046,125,21.868298,-100.0,-0.028801318258047104,0
-0.598353,95,22.128894,-100.0,-0.06725788861513138,0
0.776698,90,22.371587,-100.0,-0.08625947684049606,0
0.192051,72,22.561973,-100.0,0.03708924353122711,0
-0.630201,93,22.812237,-100.0,-0.08818979561328888,0
-0.63403,113,23.103778,-100.0,-0.026843231171369553,0
-0.457025,63,23.27856,-100.0,-0.010638253763318062,0
0.021734,104,23.563831,-100.0,-0.07771431654691696,0
0.463724,78,23.762658,-100.0,-0.05017887055873871,0
-0.640291,98,26.101778,-100.0,-0.018277080729603767,0
-0.527526,91,26.349538,-100.0,-0.07557607442140579,0
0.114271,60,26.508935,-100.0,-0.1256333291530609,0
-1.063417,114,26.826464,-100.0,-0.04897720739245415,0
0.021475,85,27.067272,-100.0,-0.0967654287815094,0
-0.484243,110,27.369884,-100.0,-0.010830660350620747,0
-1.124524,117,27.686282,-100.0,-0.08099983632564545,0
-0.453263,68,27.866087,-100.0,-0.03641194477677345,0
-0.394338,85,28.097019,-100.0,-0.1056714653968811,0
0.313637,91,28.340626,-100.0,-0.07741353660821915,0
0.514938,67,28.509761,-100.0,-0.09924054145812988,0
0.098708,61,28.645724,-100.0,-0.07391484081745148,0
0.375258,82,30.776237,-100.0,-0.014772806316614151,0
0.70587,65,31.147476,-100.0,-0.09285856038331985,0
0.973113,74,31.375216,-100.0,0.08017551898956299,0
-0.507629,96,31.648075,-100.0,-0.012134792283177376,0
0.616394,60,31.805566,-100.0,-0.11578242480754852,0
-0.014899,107,32.08931,-100.0,0.00023170094937086105,0
0.728547,66,32.258387,-100.0,0.1191585585474968,0
0.632304,79,32.465827,-100.0,-0.09251400828361511,0
-0.293689,94,32.716436,-100.0,0.023700473830103874,0
-0.29683,117,33.019225,-100.0,-0.022982759401202202,0
-0.357892,84,33.244654,-100.0,-0.09432978928089142,0
-0.164784,85,33.429643,-100.0,-0.0784541592001915,0
0.851481,70,35.221821,-100.0,0.10012832283973694,0
0.242378,119,35.626806,-100.0,-0.052848659455776215,0
-0.14532,99,35.974861,-100.0,-0.05133426561951637,0
-0.233135,100,36.440017,-100.0,-0.08050469309091568,0
0.261513,97,36.700573,-100.0,-0.04642904922366142,0
1.245302,114,36.999023,-100.0,0.1459360420703888,0
-0.294645,124,37.32653,-100.0,-0.07610897719860077,0
0.657478,68,37.573596,-100.0,-0.08679569512605667,0
0.001757,62,37.742858,-100.0,-0.11718561500310898,0
1.283071,97,37.983434,-100.0,0.14587372541427612,0
0.77732,85,38.159277,-100.0,-0.07119321823120117,0
0.047762,89,39.970464,-100.0,-0.07034996151924133,0
-0.212069,60,40.12231,-100.0,-0.0960579663515091,0
0.350584,100,40.399279,-100.0,-0.08908344060182571,0
1.032385,92,40.65649,-100.0,0.1475795954465866,0
-0.380385,71,40.952784,-100.0,-0.06814642250537872,0
-0.074569,67,41.182045,-100.0,-0.0798344761133194,0
0.358661,68,41.413614,-100.0,-0.09532515704631805,0
0.601327,124,41.778656,-100.0,0.060299839824438095,0
0.738244,82,41.989359,-100.0,-0.08580445498228073,0
0.193266,107,42.258948,-100.0,-0.07990272343158722,0
