seed,iterations_available,initial_score,best_score,best_iteration,first_solved_iteration,solved,eval_episode_counts
0,10,-112.36815775378672,152.37608926437238,8,,False,10
1,3,-110.2355723151795,218.0958103204981,2,2,True,10
2,10,-108.61422329866222,251.35811311484676,9,9,True,10
3,8,-112.56554312709046,260.6367957132758,6,6,True,10
4,7,-111.44173001352465,263.60790206833997,6,6,True,10
5,4,-111.71062869710725,242.40622509433464,3,3,True,10
6,6,-110.96139597831481,249.01601652352824,5,5,True,10
